,ligand_name,pdb_name,smiles,rot_bonds,n_atoms,arom_rings,amide_bonds
6991,4c37_ligand,4c37,CCn1c(-c2nonc2N)nc2cnc(Br)cc21,2,27,3,0
7142,5odu_ligand,5odu,CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,2,27,0,0
7434,3d27_ligand,3d27,CCc1ccsc1-c1ccc(O)c(O)c1,2,27,2,0
8969,2jdy_ligand,2jdy,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,2,27,0,0
9077,2yc3_ligand,2yc3,O=c1c(Cc2ccccc2)c(Cl)[nH]c2ncnn12,2,27,3,0
9356,4n1t_ligand,4n1t,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,2,27,2,0
9397,6q35_ligand,6q35,[NH3+]Cc1ccc2sc(B([OH2+])[OH2+])cc2c1,2,27,2,0
9654,5qa5_ligand,5qa5,Cc1cccc(-c2cccc(C(=O)[O-])c2)c1,2,27,2,0
9782,4w9s_ligand,4w9s,O=c1nc(-c2ccc(-c3nnn[nH]3)cc2)[nH]cc1O,2,27,3,0
12135,4kz0_ligand,4kz0,COC(=O)c1ccc2nc(NC(C)=O)sc2c1,2,27,2,1
13275,2jdn_ligand,2jdn,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,2,27,0,0
13299,1gcz_ligand,1gcz,CCOC(=O)c1cc2ccc(O)cc2oc1=O,2,27,2,0
13342,1ws5_ligand,1ws5,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,2,27,0,0
137,2xsb_ligand,2xsb,CC(=O)N[C@H]1C(=O)O[C@H](CO)[C@@H](O)[C@@H]1O,2,28,0,1
224,5vm6_ligand,5vm6,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,2,28,2,2
278,1fj4_ligand,1fj4,C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,2,28,0,0
461,4pd7_ligand,4pd7,O=c1ncccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,28,1,0
563,3e85_ligand,3e85,O=C(Nc1ccccc1)Nc1ccccc1,2,28,2,2
607,6f5w_ligand,6f5w,C#CCO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,2,28,0,0
1165,6afr_ligand,6afr,Oc1ccc(Cn2cnc(F)c2)c2cccnc12,2,28,3,0
1533,5wi1_ligand,5wi1,O=C1OCCC[C@@H]1/C=N/c1ccccc1,2,28,1,0
1600,3ccb_ligand,3ccb,[NH3+]Cc1ccccc1-c1ccccc1,2,28,2,0
1874,4k2g_ligand,4k2g,N#C[C@@H](c1ccc(F)cc1)c1cccc(C(F)(F)F)n1,2,28,2,0
2041,2rib_ligand,2rib,OC[C@H](O)[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,2,28,0,0
2495,5cgc_ligand,5cgc,N#Cc1cc(Cl)c(F)c(-c2cc(-n3cccn3)ncn2)c1,2,28,3,0
2824,4d1a_ligand,4d1a,O=C1NC(=O)[C@H](Cc2c[nH]c3ccccc23)N1,2,28,2,3
3222,3zs0_ligand,3zs0,O=c1[nH]c(=S)n(Cc2ccc(F)cc2)c2[nH]cnc12,2,28,3,0
3235,6e3n_ligand,6e3n,Cc1ccccc1C1=CC(=O)C(O)C(C(=O)[O-])=N1,2,28,1,0
3494,5qaz_ligand,5qaz,O=C([O-])c1cccc(-c2ccc3[nH]ccc3c2)c1,2,28,3,0
3599,6g92_ligand,6g92,Cc1cnc(Nc2cnn(C)c2C)nc1,2,28,2,0
3682,2gg2_ligand,2gg2,Nc1n[nH]c(N)c1/N=N/c1cccc(C(F)(F)F)c1,2,28,2,0
4131,1gqs_ligand,1gqs,C[C@@H](c1cccc(O)c1)[NH+](C)C,2,28,1,0
4307,6npe_ligand,6npe,N#CCC(=O)NC1=N[C@@H](c2ccc(Cl)c(Cl)c2)CS1,2,28,1,1
4483,2ria_ligand,2ria,OC[C@@H](O)[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,2,28,0,0
4488,4mgc_ligand,4mgc,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,2,28,2,0
4505,4wsk_ligand,4wsk,C[C@H]1[C@@H](O)[C@@H](O)[C@H](O)C[C@@H]1NC=O,2,28,0,1
4576,4c6x_ligand,4c6x,C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,2,28,0,0
4580,5csh_ligand,5csh,[NH3+]Cc1ccc(-c2ccccc2)c(Cl)c1,2,28,2,0
5199,3hvc_ligand,3hvc,Fc1ccc(-c2[nH]ncc2-c2ccncc2)cc1,2,28,3,0
5442,3ma3_ligand,3ma3,O=C([O-])c1cc2cc3ccc4oc(C(=O)[O-])cc4c3cc2o1,2,28,4,0
6014,5alt_ligand,5alt,Cn1nnc(-c2cc(-c3ccsc3)cnc2N)n1,2,28,3,0
6171,5oul_ligand,5oul,[NH3+]Cc1ccc(-c2cccc(F)c2)c(Cl)c1,2,28,2,0
6913,2xez_ligand,2xez,c1cc(-c2cnc3cnc(-c4cn[nH]c4)cn23)[nH]n1,2,28,4,0
7244,3pxy_ligand,3pxy,COc1ccc(O)c(-c2nc(N)nc(N)n2)c1,2,28,2,0
7557,6r0s_ligand,6r0s,O=C1C[C@H](N2C(=O)c3cccc([N+](=O)[O-])c3C2=O)C(=O)N1,2,28,1,4
8041,4uct_ligand,4uct,Cc1cn2nc(N)nc2nc1OC(C)C,2,28,2,0
8145,3bmo_ligand,3bmo,Cc1ccc(Sc2cc(N)nc(N)n2)cc1,2,28,2,0
8401,6cj5_ligand,6cj5,NC(=O)c1cccn2c(-c3cccnc3)cnc12,2,28,3,1
8405,4e5d_ligand,4e5d,COc1ccc2nc(-c3ccccc3F)sc2c1,2,28,3,0
8565,6q8p_ligand,6q8p,CNc1ncc2cc3cnccc3c([N+](=O)[O-])c2n1,2,28,3,0
9079,3mb7_ligand,3mb7,O=C([O-])c1cc2c(ccc3ccc4oc(C(=O)[O-])cc4c32)o1,2,28,4,0
10757,3a29_ligand,3a29,Nc1nc2c(s1)CCc1ccc(O[P+](=O)(=O)[O-])cc1-2,2,28,2,0
11020,3pxz_ligand,3pxz,COc1ccc(O)c(-c2nc(N)nc(N)n2)c1,2,28,2,0
11129,2g70_ligand,2g70,O=[N+]([O-])c1ccc2c(c1)C[NH2+][C@@H](CO)C2,2,28,1,0
11315,2gg5_ligand,2gg5,Nc1n[nH]c(N)c1/N=N/c1ccccc1C(F)(F)F,2,28,2,0
11792,3mb6_ligand,3mb6,O=C([O-])c1cc2cc3ccc4oc(C(=O)[O-])cc4c3cc2o1,2,28,4,0
12941,2zjf_ligand,2zjf,O=C(Nc1ccccc1)Nc1ccccc1,2,28,2,2
13444,5jiq_ligand,5jiq,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,2,28,2,0
13928,5k4l_ligand,5k4l,CCNC(=O)c1c(O)c2ccncc2[nH]c1=O,2,28,2,1
146,5dtq_ligand,5dtq,O=C(c1ccc2ncccc2c1)c1c(Cl)cccc1Cl,2,29,3,0
320,2yc5_ligand,2yc5,N#Cc1cnn2c1N=C(Cl)C(Cc1ccccc1)C2=O,2,29,2,0
327,5qax_ligand,5qax,O=C([O-])c1cccc(-c2ccc3ncccc3c2)c1,2,29,3,0
376,5w5j_ligand,5w5j,O=C(Nc1ccccc1Cl)c1cnn2ccccc12,2,29,3,1
397,1af2_ligand,1af2,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,2,29,1,0
444,5obj_ligand,5obj,O=C([O-])c1cc(-c2cccc(F)c2)nc2ccccc12,2,29,3,0
736,5kre_ligand,5kre,O=CN1CCCC[C@@H]1c1ccccc1,2,29,1,1
1208,5mb1_ligand,5mb1,CNS(=O)(=O)c1c(C)cc(C)cc1C,2,29,1,0
1233,2evo_ligand,2evo,O=C(Nc1nccs1)C(=O)NC1CCCC1,2,29,1,2
1320,6npu_ligand,6npu,CC(=O)N[C@H]1CC=[N+](c2ccc(Cl)c(Cl)c2)N1,2,29,1,1
1331,3py1_ligand,3py1,COc1ccc2c(c1)/C(=C/c1c[nH]cn1)C(=O)N2,2,29,2,1
2003,4x6k_ligand,4x6k,CC(=O)N[C@H]1[NH2+]C[C@H](C(=O)[O-])[C@H](O)[C@@H]1O,2,29,0,1
2374,2w6z_ligand,2w6z,CC(C)=CC[n+]1cnc(N)c2nc[nH]c21,2,29,2,0
2519,3py0_ligand,3py0,COc1ccc2c(c1)/C(=C/c1c[nH]cn1)C(=O)N2,2,29,2,1
2662,4pd5_ligand,4pd5,[H]/N=c1\ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)[nH]1,2,29,1,0
3820,4l0t_ligand,4l0t,O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2ccccc12,2,29,3,0
3873,5l26_ligand,5l26,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,2,29,1,0
4046,5mxv_ligand,5mxv,O=C(NC1[NH2+]C[CH]S1)c1sc2cc(F)ccc2c1Cl,2,29,2,1
4064,1pf8_ligand,1pf8,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,2,29,2,1
4509,2vpp_ligand,2vpp,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,2,29,1,0
5292,3fts_ligand,3fts,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2,29,2,0
5514,3az9_ligand,3az9,Oc1ccc(Cl)cc1Oc1ccc(Cl)c2cccnc12,2,29,3,0
7096,6h1h_ligand,6h1h,Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,2,29,3,0
8398,5lcf_ligand,5lcf,O=C([O-])c1cccc2c1C(=O)N(c1ccccc1)C2,2,29,2,1
8958,5fsb_ligand,5fsb,CO[C@H]1[C@H](O)[C@H](O)[C@H](C)O[C@@H]1[Se]C,2,29,0,0
9500,2l98_ligand,2l98,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2,29,2,0
9583,4yrt_ligand,4yrt,CCC(=O)Nc1ccc2c(O)cccc2c1,2,29,2,1
9775,4jaz_ligand,4jaz,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2,29,2,0
10024,4xy9_ligand,4xy9,COc1ccc(Br)cc1-c1nc(N)nc2nc[nH]c12,2,29,3,0
10843,5obr_ligand,5obr,O=C([O-])c1cc(-c2cc(F)cc(Cl)c2)nc2ccccc12,2,29,3,0
11930,4pd6_ligand,4pd6,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,2,29,1,0
12116,4l09_ligand,4l09,O=C([O-])c1ccc(-c2cc(=O)c3ccccc3o2)cc1,2,29,3,0
13321,3ipx_ligand,3ipx,[H]/N=c1/[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,2,29,1,0
292,6msa_ligand,6msa,COc1cc2nnc3n[nH]c(C)c3c2cc1OC,2,30,3,0
550,4d1d_ligand,4d1d,O=C1NC(=O)[C@@H](Cc2ccc3ccccc3c2)N1,2,30,2,3
722,3jwr_ligand,3jwr,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,2,30,2,0
767,5qaw_ligand,5qaw,O=C([O-])c1cccc(-c2ccc3ccccc3c2)c1,2,30,3,0
1515,5t52_ligand,5t52,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O,2,30,0,1
1731,4c38_ligand,4c38,CCn1c(-c2nonc2N)nc2cnc(C)cc21,2,30,3,0
2186,3wpn_ligand,3wpn,NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)c(F)c2)cc1,2,30,2,0
2509,3djf_ligand,3djf,[NH2+]=c1[nH]c(=O)c2[nH]cc(Cc3cccnc3)c2[nH]1,2,30,3,0
2973,6q2y_ligand,6q2y,[NH3+]Cc1ccc2sc([B-]([OH2+])([OH2+])[OH2+])cc2c1,2,30,2,0
3252,5lm6_ligand,5lm6,O=C([O-])c1cccc2c1C(=O)N(c1ccc(O)c(F)c1)C2,2,30,2,1
3428,4qp8_ligand,4qp8,c1cncc(-c2c[nH]c3ncc(-c4cn[nH]c4)nc23)c1,2,30,4,0
3656,1zkn_ligand,1zkn,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,2,30,2,0
3982,1x7b_ligand,1x7b,C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12,2,30,3,0
4342,1bcj_ligand,1bcj,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1O,2,30,0,1
4496,2r8q_ligand,2r8q,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,2,30,2,0
4860,1wok_ligand,1wok,NC(=O)c1cccc2ncc(-c3ccc(Cl)cc3)nc12,2,30,3,1
4913,2z8e_ligand,2z8e,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1O,2,30,0,1
5142,4xtm_ligand,4xtm,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O,2,30,0,1
5206,2prj_ligand,2prj,CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2,30,0,1
5526,2yhy_ligand,2yhy,CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,2,30,0,1
5866,2toh_ligand,2toh,C[C@H](O)[C@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1,2,30,1,0
6371,3h21_ligand,3h21,C[C@@H](C(=O)[O-])C1=NN(C)C2=NC(=[NH2+])NC(=O)C2C1=O,2,30,0,1
6436,3uxm_ligand,3uxm,Cc1cn([C@H]2C[C@H](O)[C@@H](CF)O2)c(=O)[nH]c1=O,2,30,1,0
6564,3lp0_ligand,3lp0,CCOC(=O)C1=C(O)N(O)c2ncccc2C1O,2,30,1,0
6576,6ck3_ligand,6ck3,C[C@H]1NC(=O)c2ccc(Nc3ccncn3)cc21,2,30,2,1
6581,4ps7_ligand,4ps7,CC(=O)Nc1nc2ccc(-c3cccnc3)cc2s1,2,30,3,1
7431,3itu_ligand,3itu,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,2,30,2,0
7466,4c35_ligand,4c35,NC(=O)c1cccc2nc(-c3ccc(O)cc3)[nH]c12,2,30,3,1
9122,1zkl_ligand,1zkl,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,2,30,2,0
9804,5d9p_ligand,5d9p,CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2,30,0,1
9881,5e0a_ligand,5e0a,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,2,30,0,1
10170,3qi4_ligand,3qi4,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,2,30,2,0
10536,1rdn_ligand,1rdn,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,2,30,0,1
10586,4h4b_ligand,4h4b,O=C1c2ccc(S(=O)(=O)[O-])cc2C(=O)c2ccc(S(=O)(=O)[O-])cc21,2,30,2,0
10977,2hd1_ligand,2hd1,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,2,30,2,0
11179,4tyb_ligand,4tyb,N#C[C@@H](c1ccccc1)[NH+]1CCOCC1,2,30,1,0
11312,4tx6_ligand,4tx6,COc1ccccc1-c1noc2nc(C)[nH]c(=O)c12,2,30,3,0
11812,5cgd_ligand,5cgd,N#Cc1cc(Cl)cc(-c2cc(-c3ccc(F)cn3)ncn2)c1,2,30,3,0
12025,1soj_ligand,1soj,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,2,30,2,0
12120,4tju_ligand,4tju,NC(=O)c1cccc2ncc(-c3ccc(Cl)cc3)nc12,2,30,3,1
12195,4do3_ligand,4do3,C[C@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,2,30,3,0
12664,3o0j_ligand,3o0j,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1C#N,2,30,2,0
13259,6cjy_ligand,6cjy,O=C1NCc2cc(Nc3ncnc4[nH]cnc34)ccc21,2,30,3,1
13491,3ecn_ligand,3ecn,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,2,30,2,0
13576,4qsx_ligand,4qsx,C=C1CN([C@H]2CC[C@@H](CO)O2)C(=O)NC1=O,2,30,0,3
13580,4mjr_ligand,4mjr,C[C@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,2,30,3,0
14037,4a9i_ligand,4a9i,CC(=O)c1cc(-c2ccccn2)c2ccccn12,2,30,3,0
14066,6b7d_ligand,6b7d,COc1nnc(-c2ccc(Cl)cc2)c(C)c1C,2,30,2,0
96,5akh_ligand,5akh,FC(F)(F)c1cccc(-c2[nH]ncc2-c2ccncc2)c1,2,31,3,0
455,2bua_ligand,2bua,[NH3+]CC1(c2ccccc2)CCCC1,2,31,1,0
1071,5k05_ligand,5k05,Cc1ccc(-c2nc(C)c(-c3cc[nH]n3)s2)cc1,2,31,3,0
1269,4l10_ligand,4l10,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,2,31,3,0
2610,1o32_ligand,1o32,NC(=[NH2+])c1ccc2[nH]c(-c3ncccc3O)nc2c1,2,31,3,0
2752,5aia_ligand,5aia,O=C([O-])c1cc(C2CCCCC2)ccc1O,2,31,1,0
3045,4zh2_ligand,4zh2,O/N=C(\Nc1ccccc1)c1cccc(C(F)(F)F)c1,2,31,2,0
3063,5all_ligand,5all,C[C@H]1C[C@@H](CO)C[C@@H](C[NH3+])C1,2,31,0,0
3713,1nnu_ligand,1nnu,Oc1ccc2cc(Oc3ccc(Cl)cc3O)ccc2c1,2,31,3,0
4346,2ada_ligand,2ada,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,31,2,0
4394,6pm9_ligand,6pm9,CCNC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](C(F)F)O[C@@H]2S1,2,31,0,0
4471,3gsg_ligand,3gsg,C[C@H](C(=O)[O-])N1C(=O)[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1=O,2,31,0,2
4820,4bo6_ligand,4bo6,O=C(c1csc(-c2ccsc2)n1)n1ccc2ccccc21,2,31,4,0
6189,3p50_ligand,3p50,CC(C)c1cccc(C(C)C)c1O,2,31,1,0
6193,3zw3_ligand,3zw3,CC(=O)Nc1cn2cc(/C=C3\SC(=O)NC3=O)ccc2n1,2,31,2,3
6285,5d9l_ligand,5d9l,Oc1ccc(-c2c[nH]nc2-c2ccc(O)cc2)cc1,2,31,3,0
6592,4xsx_ligand,4xsx,O/N=C(\Nc1ccccc1)c1cccc(C(F)(F)F)c1,2,31,2,0
6708,5wzr_ligand,5wzr,CC(=O)N[C@H]1C[NH2+][C@H](CO)[C@H](O)[C@@H]1O,2,31,0,1
6905,1pr1_ligand,1pr1,O=c1[nH]cnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)n[nH]c12,2,31,2,0
7220,6hs0_ligand,6hs0,Clc1cccc(C[NH+]2CC[NH2+]CC2)c1,2,31,1,0
7238,5oui_ligand,5oui,O=C(Nc1ccc(Br)cn1)[C@@H]1CCC[NH2+]C1,2,31,1,1
7371,2xf0_ligand,2xf0,c1ccc(-c2cnc3cnc(-c4cn[nH]c4)cn23)cc1,2,31,4,0
7746,4zh3_ligand,4zh3,O/N=C(\Nc1cccc(Br)c1)c1ccc(F)c(C(F)(F)F)c1,2,31,2,0
8245,3g3n_ligand,3g3n,CSc1nc2ccccc2c(=O)n1-c1c(F)cccc1F,2,31,3,0
8312,4kwp_ligand,4kwp,OC[C@H]1O[C@@H](n2cnc3c(Br)c(Br)c(Br)c(Br)c32)C[C@@H]1O,2,31,2,0
8446,4ith_ligand,4ith,CN1C(=O)N[C@H](Cc2c[nH]c3c(Cl)cccc23)C1=O,2,31,2,3
9137,1x78_ligand,1x78,N#CCc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,2,31,3,0
9299,4bo7_ligand,4bo7,c1cc2c(cc1Nc1ccc3nnnn3n1)CCC2,2,31,3,0
9358,1w1t_ligand,1w1t,O=C1N[C@@H](Cc2c[nH]cn2)C(=O)N2CCC[C@@H]12,2,31,1,2
9465,1o34_ligand,1o34,NC(=[NH2+])c1ccc2[nH]c(-c3ncccc3O)nc2c1,2,31,3,0
9788,2aq7_ligand,2aq7,C/C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,2,31,0,0
9967,5fcw_ligand,5fcw,O=NC(=O)c1ccc(-c2cccc3ccccc23)cc1,2,31,3,1
10196,2waj_ligand,2waj,COc1cc2ccnc(-c3cccc(Br)c3)c2cc1Cl,2,31,3,0
10354,5ehy_ligand,5ehy,c1ccc(-c2[nH]nc3ccnc(-c4ccoc4)c23)cc1,2,31,4,0
11095,1w2g_ligand,1w2g,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,2,31,1,0
11176,3qio_ligand,3qio,O=C1Nc2ccc(S(=O)(=O)c3ccccc3)cc2C(=O)[N+]1=O,2,31,2,3
11507,1z34_ligand,1z34,Nc1nc(F)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,2,31,2,0
12187,2jle_ligand,2jle,Cc1[nH]nc2ccc(F)c(Oc3cc(C#N)cc(C#N)c3)c12,2,31,3,0
12537,1x7e_ligand,1x7e,N#CCc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,2,31,3,0
12726,5os0_ligand,5os0,N#CC[NH+]1CCN(c2cccc(Cl)c2)CC1,2,31,1,0
12848,5y3n_ligand,5y3n,Nc1nc(Cl)c2cnn(Cc3cc4c(cc3Br)OCO4)c2n1,2,31,3,0
13159,4pda_ligand,4pda,[NH2+]=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,2,31,1,0
13288,4mpc_ligand,4mpc,O=S(=O)(c1ccc(O)cc1O)n1cc2ccccc2c1,2,31,3,0
13460,1a4m_ligand,1a4m,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,31,2,0
99,1o2s_ligand,1o2s,NC(=[NH2+])c1ccc2[nH]c(-c3ccccc3O)nc2c1,2,32,3,0
655,4mpe_ligand,4mpe,O=C1C=CC(S(=O)(=O)n2cc3ccc(O)cc3c2)C(O)=C1,2,32,2,0
1176,4hl5_ligand,4hl5,COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,2,32,3,0
1262,3l79_ligand,3l79,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](F)[C@H]2O)c(=O)[nH]1,2,32,1,0
1346,2wmv_ligand,2wmv,[NH3+]C[C@H]1CN(c2ncnc3[nH]cnc23)CCO1,2,32,2,0
1400,3uwo_ligand,3uwo,Cn1c(=O)[nH]c2ncc(-c3cccc(C(N)=O)c3)cc21,2,32,3,1
1917,5m4u_ligand,5m4u,O=C([O-])c1ccc(C2=C(O)C(O)c3cc(Cl)cc(Cl)c3O2)cc1,2,32,2,0
2261,3wkb_ligand,3wkb,O=C1CN(Cc2ccccc2)c2ccccc2N1,2,32,2,1
2618,3ik1_ligand,3ik1,Cc1cccc2c1C(=O)N(c1ccc(C(=O)[O-])c(O)c1)C2=O,2,32,2,2
3239,4pd9_ligand,4pd9,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,32,2,0
3438,3my5_ligand,3my5,OC[C@H]1O[C@@H](n2cnc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,2,32,2,0
3626,5m56_ligand,5m56,O=C([O-])c1ccc(C2=C(O)C(O)c3cc(Cl)cc(Cl)c3O2)cc1,2,32,2,0
3853,3prz_ligand,3prz,Cc1nc(N)c2cccc(C(=O)Nc3ccn[nH]3)c2n1,2,32,3,1
4145,6mia_ligand,6mia,O=c1c2c3c(sc2ncn1Cc1nn[nH]n1)CCCC3,2,32,3,0
4330,1amn_ligand,1amn,C[N+](C)(C)c1cccc(C(O)(O)C(F)(F)F)c1,2,32,1,0
4492,3uzc_ligand,3uzc,Nc1nnc(-c2ccc(O)c(Cl)c2)c(-c2ccccc2)n1,2,32,3,0
4690,6nfg_ligand,6nfg,CNC(=O)c1c[nH]n2c(=O)cc(-c3ccccc3)nc12,2,32,3,1
5043,3my1_ligand,3my1,OC[C@H]1O[C@@H](n2cnc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,2,32,2,0
5552,4cki_ligand,4cki,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,32,2,0
5806,1gi8_ligand,1gi8,NC(=[NH2+])c1ccc2nc(-c3ccccc3O)[nH]c2c1,2,32,3,0
6178,4zh4_ligand,4zh4,Fc1ccc(-c2[nH]ncc2-c2ccc(F)c(C(F)(F)F)c2)cc1,2,32,3,0
6461,4qsw_ligand,4qsw,C=C1CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,2,32,0,3
6863,5j7p_ligand,5j7p,Oc1cc2c(cc1Cc1ccc(C(F)(F)F)cc1)OCO2,2,32,2,0
7375,5mi6_ligand,5mi6,CCNC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2S1,2,32,0,0
7730,6mnp_ligand,6mnp,O=c1c2c3c(sc2ncn1Cc1nnn[nH]1)CCCC3,2,32,3,0
8051,3ay0_ligand,3ay0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,32,2,0
8791,5m4f_ligand,5m4f,O=C([O-])c1ccc(C2=C(O)C(O)c3cc(Cl)cc(Cl)c3O2)cc1,2,32,2,0
8808,5lca_ligand,5lca,O=C([O-])c1cccc2c1C(=O)N(c1cccc(C(F)(F)F)c1)C2,2,32,2,1
9821,3dxm_ligand,3dxm,O=C1CS[C@@H](c2cccc(Br)c2)N1c1cc(Cl)ccc1O,2,32,2,1
9964,5m4i_ligand,5m4i,O=C([O-])c1ccc(C2=C(O)C(O)c3cc(Cl)cc(Cl)c3O2)cc1,2,32,2,0
10093,6f4x_ligand,6f4x,Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)n[nH]c12,2,32,2,0
10172,3rik_ligand,3rik,OCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C1,2,32,0,0
10220,6f4w_ligand,6f4w,Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)n[nH]c12,2,32,2,0
10226,2ydo_ligand,2ydo,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,32,2,0
11168,6gih_ligand,6gih,[NH3+]Cc1cc(Cl)cc(-c2cccc3[nH]ccc23)c1,2,32,3,0
11527,5l8t_ligand,5l8t,Cc1ncccc1N[C@@H]1CCCS(=O)(=O)C1,2,32,1,0
11733,4ckj_ligand,4ckj,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2,32,2,0
11819,3sc1_ligand,3sc1,O=c1[nH]ccc2cc(-c3ccccc3CO)ccc12,2,32,3,0
12088,4uvy_ligand,4uvy,COc1cccc2c(=O)[nH]c(-c3ccc(Cl)cc3)cc12,2,32,3,0
